sample,time,RAX_A,RAX_B,RAX_C,RAX_D,RAX_E,RAX_F,RAX_G,RAX_H,Boost_Target,Boost_Error,MAF_Frequency,AFR_O2_WB_ADC,LogEntryDate,LogEntrySeconds,LogNotes,Custom
27,2.100,2156419976,269582336,273154223,468189268,1477467411,607341696,12799563,269226512,11.9951,0,31.25,7.3125,0,0,0,0
28,2.175,2156419976,269516800,273154223,468189268,1477467411,607341696,12799563,269357328,11.9951,0,31.25,7.36237,0,0,0,0
29,2.250,2156419976,269516800,273154222,468189268,1477467411,607341696,12799563,269357584,11.9951,0,31.25,7.36237,0,0,0,0
30,2.325,2156419976,269516800,273154223,468189268,1477467411,607341696,12799563,269357584,11.9951,0,31.25,7.3125,0,0,0,0
31,2.400,2156419976,269516800,273154223,468189268,1477467411,607341696,12799563,269357584,11.9951,0,31.25,7.3125,0,0,0,0
32,2.475,2156419976,269516800,273154222,476577876,1477467411,607341696,12799563,252580367,11.9951,0,31.25,7.36237,0,0,0,0
33,2.550,2156419976,269516800,273154221,476577876,1477467411,607341696,12799563,252580367,11.9951,0,31.25,7.3125,0,0,0,0
34,2.625,2156419976,269516800,273154221,476577876,1477467411,607341696,12799563,252580367,11.9951,0,31.25,7.3125,0,0,0,0
35,2.700,2156419976,269516800,273285292,476577876,1477467411,607341696,12799563,269357584,11.9951,0,31.25,7.3125,0,0,0,0
36,2.775,2156419976,269516800,273285292,468189268,1477467411,607341696,12799563,269357584,11.9951,0,31.25,7.3125,0,0,0,0
37,2.850,2156419976,269516800,273154219,468189268,1477467155,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
38,2.925,2156419976,269516800,273154219,476577876,1477467155,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
39,3.000,2156419976,269516800,273154219,476577876,1477467155,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
40,3.075,2156419976,269516800,273154218,476577876,1477467155,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
41,3.150,2156419976,269516800,273023144,476577876,1410358292,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
42,3.225,2156419976,269516800,273023143,468189268,1410358292,607341696,12799563,269357584,12.1886,0,31.25,7.36237,0,0,0,0
43,3.300,2156419976,269516800,273154214,468189268,1410358035,607341696,12799563,269357584,12.1886,0,31.25,7.36237,0,0,0,0
44,3.375,2156419976,269516800,273285285,484966483,1410358035,607341696,12799563,269357584,12.1886,0,31.25,7.3125,0,0,0,0
45,3.450,2156419976,269516800,273023143,484966483,1410358035,607341696,12799563,269357584,12.1886,0,31.25,7.82788,0,0,0,0
46,3.525,2156419976,269516800,273023141,476577875,1410358035,607341696,12799563,269357584,12.1886,0,31.25,7.82788,0,0,0,0
47,3.600,2156419976,269582336,273023141,476577875,1410357779,607341696,12865099,269357584,12.3821,0,31.25,7.88013,0,0,0,0
48,3.675,2156419976,269516800,273154212,484966484,1410357779,607341696,12865099,269357584,12.3821,0,31.25,7.88013,0,0,0,0
49,3.750,2156419976,269516800,273154213,484966484,1410357523,607341696,12865099,269357584,12.3821,0,31.25,7.88013,0,0,0,0
50,3.825,2156419976,269582336,273154212,484966484,1410357523,607341696,12799563,285217296,12.5756,0,31.25,7.93237,0,0,0,0
51,3.900,2156419976,286359552,289931429,484966484,1410357523,607341696,12799563,285217297,12.769,0,31.25,8.0345,0,0,0,0
52,3.975,2156419976,286359552,289800358,476577875,1410357523,607341696,12799563,285217297,12.769,0,31.25,7.88013,0,0,0,0
53,4.050,2156419976,286359552,289800358,476577875,1410357267,607341696,12865099,285217297,12.769,0,31.25,7.93237,0,0,0,0
54,4.125,2156419976,286359552,289800358,476577876,1410357267,607341696,12865099,285217297,12.5756,0,31.25,7.88013,0,0,0,0
55,4.200,2156419976,286359552,289800358,476577876,1410357011,607341696,12865099,285217297,12.5756,0,31.25,7.569,0,0,0,0
56,4.275,2156419976,286359552,289669288,476577876,1410357011,607341696,12865099,285217297,12.5756,0,37.5,7.82788,0,0,0,0
57,4.350,2156419976,286359552,289669289,476577876,1410357267,607341696,12865099,285217297,12.5756,0,37.5,7.82788,0,0,0,0
58,4.425,2156419976,286359552,289669289,484966484,1410357267,607341696,12865099,285217297,12.5756,0,37.5,7.93237,0,0,0,0
59,4.500,2156419976,286359552,289669289,484966484,1410357523,607341696,12865099,285217297,12.5756,0,37.5,7.88013,0,0,0,0
60,4.575,2156419976,286359552,289669288,484966484,1410357523,607341696,12865099,285217297,12.5756,0,37.5,7.88013,0,0,0,0
61,4.650,2156419976,286359552,289669289,484966484,1410357267,607341696,12865099,285217297,12.5756,0,37.5,7.93237,0,0,0,0
62,4.725,2156419976,286359552,289669288,484966484,1410357267,607341696,12865099,285217297,12.5756,0,37.5,7.93237,0,0,0,0
63,4.800,2156419976,286359552,289669289,484966484,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.82788,0,0,0,0
64,4.875,2156419976,286359552,289669288,476577876,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.778,0,0,0,0
65,4.950,2156419976,286359552,289669288,476577876,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.93237,0,0,0,0
66,5.025,2156419976,286359552,289669289,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.88013,0,0,0,0
67,5.100,2156419976,286359552,289669289,493355092,1410357267,607341696,12865099,285217297,12.5756,0,37.5,7.93237,0,0,0,0
68,5.175,2156419976,286359552,289669289,476577876,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.93237,0,0,0,0
69,5.250,2156419976,286359552,289538216,476577876,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.88013,0,0,0,0
70,5.325,2156419976,286359552,289538217,484966484,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.778,0,0,0,0
71,5.400,2156419976,286359552,289538217,484966484,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.88013,0,0,0,0
72,5.475,2156419976,286359552,289538217,484966484,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.778,0,0,0,0
73,5.550,2156419976,286359552,289538218,484966484,1477466131,607341696,12799563,285217297,12.769,0,37.5,7.98462,0,0,0,0
74,5.625,2156419976,286359552,289538219,476577876,1477466131,607341696,12799563,285217297,12.5756,0,37.5,7.88013,0,0,0,0
75,5.700,2156419976,286359552,289538218,476577876,1477466131,607341696,12799563,285217297,12.5756,0,37.5,7.82788,0,0,0,0
76,5.775,2156419976,286359552,289538218,484966484,1477466131,607341696,12799563,285217297,12.5756,0,37.5,7.93237,0,0,0,0
77,5.850,2156419976,286359552,289538219,484966484,1477466643,607341696,12865099,285217297,12.5756,0,37.5,7.93237,0,0,0,0
78,5.925,2156419976,286294016,289538217,484966484,1477466643,607341696,12865099,285217297,12.5756,0,37.5,7.72575,0,0,0,0
79,6.000,2156419976,286294016,289538217,484966484,1410357778,607341696,12865099,285217297,12.5756,0,37.5,7.88013,0,0,0,0
80,6.075,2156419976,286359552,289538217,484966484,1410357778,607341696,12799563,285217297,12.769,0,37.5,7.88013,0,0,0,0
81,6.150,2156419976,286359552,289538217,484966484,1410357523,607341696,12799563,285217297,12.769,0,37.5,7.88013,0,0,0,0
82,6.225,2156419976,286359552,289538217,493355092,1410357523,607341696,12799563,285217297,12.769,0,37.5,7.93237,0,0,0,0
83,6.300,2156419976,286359552,289538217,493355092,1410357523,607341696,12865099,285217297,12.769,0,37.5,7.72575,0,0,0,0
84,6.375,2156419976,286359552,289407145,476577876,1410357523,607341696,12865099,285217297,12.769,0,37.5,7.778,0,0,0,0
85,6.450,2156419976,286359552,289407144,476577876,1410357267,607341696,12865099,285217553,12.769,0,37.5,7.93237,0,0,0,0
86,6.525,2156419976,286359552,289407143,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.82788,0,0,0,0
87,6.600,2156419976,286359552,289538215,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.88013,0,0,0,0
88,6.675,2156419976,286359552,289538215,484966484,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.82788,0,0,0,0
89,6.750,2156419976,286359552,289407144,484966484,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.88013,0,0,0,0
90,6.825,2156419976,286359552,289407144,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.88013,0,0,0,0
91,6.900,2156419976,286359552,289407143,493355092,1410357010,607341696,12865099,285217297,12.769,0,37.5,7.778,0,0,0,0
92,6.975,2156419976,286359552,289407143,493355092,1410357010,607341696,12865099,285217297,12.769,0,37.5,7.778,0,0,0,0
93,7.050,2156419976,286294016,289407144,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.93237,0,0,0,0
94,7.125,2156419976,286294016,289407145,493355092,1410357267,607341696,12865099,285217297,12.769,0,37.5,7.88013,0,0,0,0
95,7.200,2156419976,286294016,289407145,493355092,1410357267,607341696,12799563,285217297,12.769,0,37.5,7.88013,0,0,0,0
96,7.275,2156419976,286359552,289407144,493355092,1410357267,607341696,12799563,285217553,12.769,0,37.5,7.82788,0,0,0,0
97,7.350,2156419976,286359552,289407142,493355092,1410357266,607341696,12799563,285217553,12.769,0,37.5,7.88013,0,0,0,0
98,7.425,2156419976,286294016,289538213,493355092,1410357266,607341696,12799563,285217553,12.9625,0,37.5,7.93237,0,0,0,0
99,7.500,2156419976,286294016,289407142,493355092,1477466131,607341696,12799563,285217553,12.9625,0,37.5,7.778,0,0,0,0
100,7.575,2156419976,286294016,289407141,501809236,1477466131,607341696,12799563,285217553,12.9625,0,37.5,7.88013,0,0,0,0
101,7.650,2156419976,303136768,306315428,501809236,1410357267,607341696,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
102,7.725,2156419976,303136768,306315428,501743700,1410357267,607341696,12865099,301994770,12.9625,0,37.5,7.82788,0,0,0,0
103,7.800,2156419976,303136768,306184357,501743700,1477466131,607341696,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
104,7.875,2156419976,303136768,306184358,493355092,1477466131,607341696,12799563,301994770,12.9625,0,37.5,7.98462,0,0,0,0
105,7.950,2156419976,303136768,306184359,493355092,1477466387,607341696,12799563,301994770,12.9625,0,37.5,7.93237,0,0,0,0
106,8.025,2156419976,286294016,289538215,501743700,1477466387,624118912,12799563,285414161,12.9625,0,37.5,7.93237,0,0,0,0
107,8.100,2156419976,303136768,306184360,501743700,1477466387,624118912,12799563,285283089,12.9625,0,37.5,7.88013,0,0,0,0
108,8.175,2156419976,303136768,306184360,501809236,1477466387,624118912,12799563,301994770,12.9625,0,37.5,7.88013,0,0,0,0
109,8.250,2156419976,286294016,289538215,501809236,1477466643,607341696,12799563,285414161,12.9625,0,37.5,7.98462,0,0,0,0
110,8.325,2156419976,303071232,306184359,501809237,1477466643,607341696,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
111,8.400,2156419976,303071232,306184360,501809237,1477466899,607341696,12865099,301994770,12.9625,0,37.5,7.778,0,0,0,0
112,8.475,2156419976,303071232,306184360,501743700,1477466899,624118912,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
113,8.550,2156419976,303071232,306184359,501743700,1477466899,624118912,12799563,301994770,12.9625,0,37.5,7.88013,0,0,0,0
114,8.625,2156419976,303136768,306315431,501743701,1477466899,624118912,12799563,301994770,13.156,0,37.5,7.88013,0,0,0,0
115,8.700,2156419976,303136768,306184360,501743701,1477467155,624118912,12799563,301994770,13.156,0,37.5,7.82788,0,0,0,0
116,8.775,2156419976,303136768,306184360,510197845,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.778,0,0,0,0
117,8.850,2156419976,303136768,306315431,510197845,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.98462,0,0,0,0
118,8.925,2156419976,303071232,306184358,501743701,1477467155,607341696,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
119,9.000,2156419976,303071232,306184359,501743701,1477467155,607341696,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
120,9.075,2156419976,303071232,306184360,510197845,1477467155,607341696,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
121,9.150,2156419976,303071232,306184359,510197845,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.778,0,0,0,0
122,9.225,2156419976,303071232,306184359,501809237,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.82788,0,0,0,0
123,9.300,2156419976,303071232,306184361,501809237,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.98462,0,0,0,0
124,9.375,2156419976,303071232,306184359,510197844,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.88013,0,0,0,0
125,9.450,2156419976,303071232,306315431,510197844,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
126,9.525,2156419976,303136768,306315431,510197845,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.88013,0,0,0,0
127,9.600,2156419976,303136768,306184360,510197845,1477466899,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
128,9.675,2156419976,303136768,306315431,510197845,1477466899,624118912,12865099,301994770,13.156,0,37.5,7.778,0,0,0,0
129,9.750,2156419976,303136768,306184360,510197845,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
130,9.825,2156419976,303136768,306184361,501809237,1477467155,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
131,9.900,2156419976,303071232,306184361,501809237,1544576019,624118912,12865099,301994770,13.156,0,37.5,7.82788,0,0,0,0
132,9.975,2156419976,303071232,306184363,501809237,1544576019,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
133,10.050,2156419976,303071232,306184363,501809237,1544576019,624118912,12865099,301994770,13.156,0,37.5,7.88013,0,0,0,0
134,10.125,2156419976,303071232,306184362,510132309,1544576019,624118912,12865099,301994770,13.156,0,37.5,7.93237,0,0,0,0
135,10.200,2156419976,303071232,306184362,510132309,1544576275,624118912,12865099,301994770,13.156,0,37.5,7.82788,0,0,0,0
136,10.275,2156419976,303071232,306184363,493355093,1544576275,624118912,12865099,301994770,13.156,0,37.5,7.98462,0,0,0,0
137,10.350,2156419976,303071232,306184363,493355093,1544576531,624118912,12865099,301994770,13.156,0,37.5,7.88013,0,0,0,0
138,10.425,2156419976,303071232,306184363,501809237,1544576531,624118912,12865099,301994770,12.9625,0,37.5,7.98462,0,0,0,0
139,10.500,2156419976,303071232,306053293,501809237,1477467667,624118912,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
140,10.575,2156419976,303071232,306053293,501743701,1477467667,624118912,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
141,10.650,2156419976,303071232,306184364,501743701,1477467667,624118912,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
142,10.725,2156419976,303071232,306053293,501809237,1477467667,624118912,12865099,301994770,12.9625,0,37.5,7.6735,0,0,0,0
143,10.800,2156419976,303071232,306184363,501809237,1477467411,624118912,12799563,301994770,12.9625,0,37.5,7.93237,0,0,0,0
144,10.875,2156419976,303071232,306184362,501809237,1477467411,624118912,12799563,301994770,12.9625,0,37.5,7.88013,0,0,0,0
145,10.950,2156419976,303071232,306184361,501809237,1477467155,607341696,12799563,301994770,12.9625,0,37.5,7.98462,0,0,0,0
146,11.025,2156419976,303071232,306184363,493420628,1477467155,607341696,12865099,285282833,12.9625,0,37.5,7.93237,0,0,0,0
147,11.100,2156419976,303071232,306184363,493420628,1477467155,607341696,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
148,11.175,2156419976,303071232,306184362,501809237,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.82788,0,0,0,0
149,11.250,2156419976,303071232,306184362,501809237,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
150,11.325,2156419976,303071232,306184362,501809236,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
151,11.400,2156419976,303071232,306184362,501809236,1477466899,624118912,12865099,301994770,12.9625,0,37.5,7.88013,0,0,0,0
152,11.475,2156419976,303071232,306184362,493420628,1477466899,624118912,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
153,11.550,2156419976,303071232,306184364,493420628,1477467155,624118912,12865099,301994514,12.9625,0,37.5,7.93237,0,0,0,0
154,11.625,2156419976,303071232,306184363,501809237,1477467155,624118912,12865099,301994514,12.9625,0,37.5,8.0345,0,0,0,0
155,11.700,2156419976,286294016,289407147,501809237,1477467155,624118912,12865099,285217553,12.9625,0,37.5,7.98462,0,0,0,0
156,11.775,2156419976,303071232,306184362,501743700,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
157,11.850,2156419976,303071232,306184363,501743700,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.82788,0,0,0,0
158,11.925,2156419976,303071232,306184362,493355093,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.93237,0,0,0,0
159,12.000,2156419976,303071232,306184362,493355093,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.98462,0,0,0,0
160,12.075,2156419976,286294016,289407146,501809236,1477467155,624118912,12865099,285414161,12.9625,0,37.5,7.93237,0,0,0,0
161,12.150,2156419976,303071232,306184360,501809236,1477467155,624118912,12930635,301994770,12.9625,0,37.5,7.93237,0,0,0,0
162,12.225,2156419976,303071232,306184361,493420628,1477467155,624118912,12930635,301994770,12.9625,0,37.5,7.82788,0,0,0,0
163,12.300,2156419976,303136768,306184362,493420628,1477467155,607341696,12930635,301994770,12.9625,0,37.5,7.93237,0,0,0,0
164,12.375,2156419976,303071232,306184361,501743700,1477467155,607341696,12865099,285414161,12.9625,0,37.5,7.93237,0,0,0,0
165,12.450,2156419976,303136768,306184362,501743700,1477467155,607341696,12865099,301994770,12.9625,0,37.5,7.82788,0,0,0,0
166,12.525,2156419976,303136768,306184362,501809236,1477467155,624118912,12865099,301994514,13.156,0,37.5,7.98462,0,0,0,0
167,12.600,2156419976,303071232,306184362,501809236,1477467155,624118912,12865099,301994514,12.9625,0,37.5,7.98462,0,0,0,0
168,12.675,2156419976,303071232,306184362,493420629,1477467155,624118912,12865099,301994770,12.9625,0,37.5,7.98462,0,0,0,0
169,12.750,2156419976,303071232,306184363,493420629,1477467155,624118912,12865099,301994514,12.9625,0,37.5,7.82788,0,0,0,0
170,12.825,2156419976,303136768,306184364,493420629,1477467155,624118912,12865099,301994514,12.9625,0,37.5,7.98462,0,0,0,0
171,12.900,2156419976,303071232,306053293,493420629,1477467155,624118912,12865099,285217297,12.9625,0,37.5,7.98462,0,0,0,0
172,12.975,2156419976,286294016,289276077,501809236,1477467155,624118912,12865099,285217297,12.9625,0,37.5,7.93237,0,0,0,0
173,13.050,2156419976,286294016,289276076,501809236,1477467155,624118912,12865099,285217297,12.9625,0,37.5,7.93237,0,0,0,0
174,13.125,2156419976,286294016,289669291,493420629,1477467155,624118912,12865099,285217553,12.9625,0,37.5,7.93237,0,0,0,0
175,13.200,2156419976,286294016,289538220,493420629,1477467155,607341696,12865099,285544977,12.769,0,37.5,7.98462,0,0,0,0
176,13.275,2156419976,269516800,272498862,476643412,1477467155,607341696,12865355,269291792,12.3821,0,37.5,7.93237,0,0,0,0
177,13.350,2156419976,269516800,272498861,476643412,1477467411,607341696,12865355,269357328,12.1886,0,31.25,7.93237,0,0,0,0
178,13.425,2156419976,269516800,272498861,476643412,1477467411,607341696,12865355,269357584,12.1886,0,31.25,7.93237,0,0,0,0
179,13.500,2156419976,269516800,272498859,476643412,1477467155,607341696,12865355,269357584,12.1886,0,31.25,7.93237,0,0,0,0
180,13.575,2156419976,269516800,272761001,485032020,1477467155,607341696,12865355,269357584,12.1886,0,31.25,7.88013,0,0,0,0
181,13.650,2156419976,269516800,272629930,485032020,1477466899,607341696,12865355,269357584,12.1886,0,31.25,7.93237,0,0,0,0
182,13.725,2156419976,269516800,272761001,476643412,1477466899,607341696,12865355,269357584,12.1886,0,31.25,7.93237,0,0,0,0
183,13.800,2156419976,269516800,272761001,476643412,1410358035,607341696,12865355,269357584,12.1886,0,31.25,7.778,0,0,0,0
184,13.875,2156419976,269516800,272760999,485032020,1410358035,607341696,12865355,269423120,12.1886,0,31.25,7.93237,0,0,0,0
185,13.950,2156419976,269516800,272760998,485032020,1410357779,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
186,14.025,2156419976,269516800,272760997,476643412,1410357779,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
187,14.100,2156419976,269516800,272892068,476643412,1410357267,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
188,14.175,2156419976,269516800,272892069,493420627,1410357267,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
189,14.250,2156419976,269516800,272892069,493420627,1410357523,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
190,14.325,2156419976,269516800,272892069,485032019,1410357523,607341696,12865355,269423120,12.3821,0,31.25,7.93237,0,0,0,0
191,14.400,2156419976,269516800,272760997,485032019,1410357267,607341696,12865355,269423120,12.3821,0,31.25,7.82788,0,0,0,0
192,14.475,2156419976,286490624,289407141,560529500,1410357267,607341696,12865355,285218321,13.156,0,37.5,7.88013,0,0,0,0
193,14.550,2156419976,371228672,374079653,560529500,2081708307,994987136,12865355,402665752,16.058,0,50,7.82788,0,0,0,0
194,14.625,2156419976,539262976,542245037,938016875,2081708307,994987136,12865355,587675171,19.7339,0,81.25,7.93237,0,0,0,0
195,14.700,2156419976,589332480,592052424,938016875,3228618516,994987136,12865355,588717347,19.5405,0,87.5,7.82788,0,0,0,0
196,14.775,2156419976,521633792,524943585,778633312,3228618516,758336640,12865355,521935135,18.3797,0,87.5,7.88013,0,0,0,0
197,14.850,2156419976,471105536,474874087,778633312,2692534404,758336640,12930891,488249372,17.6058,0,75,7.88013,0,0,0,0
198,14.925,2156419976,437551104,441581805,728301662,2692534404,758336640,12930891,471471898,16.8319,0,75,7.93237,0,0,0,0
199,15.000,2156419976,403865600,408420600,728301662,2354368899,708004992,12930891,470357272,15.8645,0,75,7.88013,0,0,0,0
200,15.075,2156419976,370245632,374997249,619249755,2354368899,708004992,12865355,420877078,15.2841,0,68.75,7.82788,0,0,0,0
201,15.150,2156419976,336625664,341704967,619249755,2016985967,708004992,12865355,370348052,14.1233,0,62.5,7.88013,0,0,0,0
202,15.225,2156419976,319782912,325189900,510197849,2016985967,657673344,12865355,336727827,13.3494,0,62.5,7.88013,0,0,0,0
203,15.300,2156419976,286228480,291766542,510197849,1748021086,657673344,12865355,286199313,12.769,0,56.25,7.88013,0,0,0,0
204,15.375,2156419976,252608512,258474253,426311766,1748021086,657673344,12865355,252579087,11.8017,0,50,7.82788,0,0,0,0
205,15.450,2156419976,235831296,242352396,426311766,1479581011,607341696,12865355,235670542,11.2213,0,43.75,7.82788,0,0,0,0
206,15.525,2156419976,218988544,225575177,375980115,1479581011,607341696,12865355,218893069,10.6409,0,43.75,7.778,0,0,0,0
207,15.600,2156419976,202211584,208797955,375980115,1345360720,607341696,12865355,202050316,10.2539,0,37.5,7.88013,0,0,0,0
208,15.675,2156419976,202211840,208929025,350814291,1345360720,607341696,12865355,201984780,10.0604,0,37.5,7.778,0,0,0,0
209,15.750,2156419976,202211840,209060088,350814291,1345095243,607341696,12930891,201985036,10.0604,0,37.5,7.778,0,0,0,0
210,15.825,2156419976,202277120,208929011,350814291,1345095243,607341696,12930891,201985036,10.0604,0,37.5,7.778,0,0,0,0
211,15.900,2156419976,202277120,208929006,350814291,1345093192,607341696,12930891,202050572,10.0604,0,31.25,7.82788,0,0,0,0
212,15.975,2156419976,202277120,208666858,367591507,1345093192,607341696,12865355,202050828,10.2539,0,31.25,7.6735,0,0,0,0
213,16.050,2156419976,202342400,206962918,367591507,1345353797,607341696,12865355,218107148,10.2539,0,37.5,7.46688,0,0,0,0
214,16.125,2156419976,235896832,240386273,409534550,1345353797,640896128,12865355,234884878,11.2213,0,37.5,7.569,0,0,0,0
215,16.200,2156419976,235896832,240255197,409534550,1547203394,640896128,12799819,234885134,11.6082,0,37.5,7.6735,0,0,0,0
